store_id,brand,name,display_name,street_address,city,county,state,postal_code,latitude,longitude,radius_meters
HD-001,Home Depot,The Home Depot,"The Home Depot, 12005, Elam Road, Balch Springs, Dallas County, Texas, 75180, United States",12005 Elam Road,Balch Springs,Dallas County,Texas,75180,32.7211444,-96.6186732,400
HD-002,Home Depot,The Home Depot,"The Home Depot, 2011, Keller Springs Road, Carrollton, Dallas County, Texas, 75006, United States",2011 Keller Springs Road,Carrollton,Dallas County,Texas,75006,32.9731256,-96.8868846,400
HD-003,Home Depot,The Home Depot,"The Home Depot, 373, East FM 1382, Cedar Hill, Dallas County, Texas, 75104, United States",373 East FM 1382,Cedar Hill,Dallas County,Texas,75104,32.5940958,-96.9359953,400
HD-004,Home Depot,The Home Depot,"The Home Depot, 11255, Garland Road, Dallas, Dallas County, Texas, 75218, United States",11255 Garland Road,Dallas,Dallas County,Texas,75218,32.850139,-96.68752,400
HD-005,Home Depot,The Home Depot,"The Home Depot, 11468, Grissom Lane, Dallas, Dallas County, Texas, 75229, United States",11468 Grissom Lane,Dallas,Dallas County,Texas,75229,32.9076486,-96.8844362,400
HD-006,Home Depot,The Home Depot,"The Home Depot, 11682, Forest Central Drive, Bouchard, Dallas, Dallas County, Texas, 75243, United States",11682 Forest Central Drive,Dallas,Dallas County,Texas,75243,32.9070473,-96.7648034,400
HD-007,Home Depot,The Home Depot,"The Home Depot, 2610, Fort Worth Avenue, Dallas, Dallas County, Texas, 75211, United States",2610 Fort Worth Avenue,Dallas,Dallas County,Texas,75211,32.7561287,-96.8644753,400
HD-008,Home Depot,The Home Depot,"The Home Depot, 2901, West Wheatland Road, Dallas, Dallas County, Texas, 75237, United States",2901 West Wheatland Road,Dallas,Dallas County,Texas,75237,32.6486318,-96.8690437,400
HD-009,Home Depot,The Home Depot,"The Home Depot, 6000, Skillman Street, Dallas, Dallas County, Texas, 75231, United States",6000 Skillman Street,Dallas,Dallas County,Texas,75231,32.8607071,-96.7497812,400
HD-010,Home Depot,The Home Depot,"The Home Depot, 6110, Lemmon Avenue, Dallas, Dallas County, Texas, 75209, United States",6110 Lemmon Avenue,Dallas,Dallas County,Texas,75209,32.8340953,-96.8276422,400
HD-011,Home Depot,The Home Depot,"The Home Depot, 2140, West Buckingham Road, Garland, Dallas County, Texas, 75044, United States",2140 West Buckingham Road,Garland,Dallas County,Texas,75044,32.9329183,-96.6805988,400
HD-012,Home Depot,The Home Depot,"The Home Depot, 3261, North President George Bush Highway, Garland, Dallas County, Texas, 75040, United States",3261 North President George Bush Highway,Garland,Dallas County,Texas,75040,32.9460074,-96.6156648,400
HD-013,Home Depot,The Home Depot,"The Home Depot, 3850, South Carrier Parkway, Westchester by Norstar, Grand Prairie, Dallas County, Texas, 75052, United States",3850 South Carrier Parkway,Grand Prairie,Dallas County,Texas,75052,32.678815,-97.0088239,400
HD-014,Home Depot,The Home Depot,"The Home Depot, 3200, West Irving Boulevard, Irving, Dallas County, Texas, 75061, United States",3200 West Irving Boulevard,Irving,Dallas County,Texas,75061,32.8336968,-96.9911154,400
HD-015,Home Depot,The Home Depot,"The Home Depot, 8555, Home Depot Drive, Irving, Dallas County, Texas, 75063, United States",8555 Home Depot Drive,Irving,Dallas County,Texas,75063,32.9233205,-96.9804294,400
HD-016,Home Depot,The Home Depot,"The Home Depot, 500, North Interstate 35E, Lancaster, Dallas County, Texas, 75146, United States",500 North Interstate 35E,Lancaster,Dallas County,Texas,75146,32.5949832,-96.8195814,400
HD-017,Home Depot,The Home Depot,"The Home Depot, 18855, Lyndon B Johnson Freeway, Mesquite, Dallas County, Texas, 75150, United States",18855 Lyndon B Johnson Freeway,Mesquite,Dallas County,Texas,75150,32.7999652,-96.6295656,400
HD-018,Home Depot,The Home Depot,"The Home Depot, 2220, North Coit Road, Richardson, Dallas County, Texas, 75080, United States",2220 North Coit Road,Richardson,Dallas County,Texas,75080,32.9820279,-96.7654428,400
HD-019,Home Depot,The Home Depot,"The Home Depot, 2201, Lakeview Parkway, Rowlett, Dallas County, Texas, 75088, United States",2201 Lakeview Parkway,Rowlett,Dallas County,Texas,75088,32.9106197,-96.5820882,400
LW-001,Lowe's,Lowe's,"Lowe's, 1253, East Trinity Mills Road, New Koreatown, Carrollton, Dallas County, Texas, 75006, United States",1253 East Trinity Mills Road,Carrollton,Dallas County,Texas,75006,32.9861877,-96.9025866,400
LW-002,Lowe's,Lowe's,"Lowe's, 11333, East Northwest Highway, Dallas, Dallas County, Texas, 75238, United States",11333 East Northwest Highway,Dallas,Dallas County,Texas,75238,32.8659191,-96.6844236,400
LW-003,Lowe's,Lowe's,"Lowe's, 11920, Inwood Road, Dallas, Dallas County, Texas, 75244, United States",11920 Inwood Road,Dallas,Dallas County,Texas,75244,32.9122079,-96.8167925,400
LW-004,Lowe's,Lowe's,"Lowe's, 1710, Chalk Hill Road, Dallas, Dallas County, Texas, 75211, United States",1710 Chalk Hill Road,Dallas,Dallas County,Texas,75211,32.7646522,-96.9013063,400
LW-005,Lowe's,Lowe's,"Lowe's, 19210, Preston Road, Dallas, Collin County, Texas, 75252, United States",19210 Preston Road,Dallas,Collin County,Texas,75252,33.0104581,-96.791792,400
LW-006,Lowe's,Lowe's,"Lowe's, 6011, Lemmon Avenue, Dallas, Dallas County, Texas, 75209, United States",6011 Lemmon Avenue,Dallas,Dallas County,Texas,75209,32.8306819,-96.8292918,400
LW-007,Lowe's,Lowe's,"Lowe's, 8520, South Hampton Road, Dallas, Dallas County, Texas, 75232, United States",8520 South Hampton Road,Dallas,Dallas County,Texas,75232,32.6429727,-96.85493,400
LW-008,Lowe's,Lowe's,"Lowe's, 2949, North President George Bush Highway, Garland, Dallas County, Texas, 75040, United States",2949 North President George Bush Highway,Garland,Dallas County,Texas,75040,32.9441518,-96.6106806,400
LW-009,Lowe's,Lowe's,"Lowe's, 3500, West Airport Freeway, Irving, Dallas County, Texas, 75062, United States",3500 West Airport Freeway,Irving,Dallas County,Texas,75062,32.8332117,-96.9959062,400
LW-010,Lowe's,Lowe's,"Lowe's, 4444, North Galloway Avenue, Mesquite, Dallas County, Texas, 75150, United States",4444 North Galloway Avenue,Mesquite,Dallas County,Texas,75150,32.8258431,-96.6210791,400
LW-011,Lowe's,Lowe's,"Lowe's, 501, South Plano Road, Richardson, Dallas County, Texas, 75081, United States",501 South Plano Road,Richardson,Dallas County,Texas,75081,32.9419697,-96.6966827,400
